logFC,AveExpr,t,P.Value,adj.P.Val,B
2.911001692,8.817971329,18.92859174,4.28E-11,8.76E-07,11.14315396
1.76641576,8.102959944,14.40580254,1.44E-09,1.47E-05,9.535453361
4.07468894,8.063867938,11.89114447,1.60E-08,0.000104235,8.157543228
2.839136764,4.449224092,11.61024533,2.14E-08,0.000104235,7.973220812
2.504512295,11.67263857,11.28988886,3.02E-08,0.000104235,7.754315651
2.135525126,6.10170611,11.28078078,3.05E-08,0.000104235,7.747952325
2.439036243,11.61989647,11.10123747,3.72E-08,0.000108741,7.620898606
1.07284921,10.95419554,10.5138166,7.20E-08,0.000184347,7.18285212
1.330212683,6.917512367,9.602550635,2.13E-07,0.000485691,6.429618683
1.613888354,5.998333405,8.995228633,4.61E-07,0.000943005,5.872515125
0.897083335,8.391273926,8.661056791,7.15E-07,0.001330502,5.54548749
0.980866452,8.453021692,8.431943907,9.73E-07,0.001641447,5.312417796
2.402264579,5.568399346,8.381569812,1.04E-06,0.001641447,5.260181773
3.954885145,5.112268135,8.321021303,1.13E-06,0.00165587,5.196915212
1.374665984,8.177263279,8.031610469,1.69E-06,0.002241375,4.887152167
1.860933895,8.31325099,8.007184428,1.75E-06,0.002241375,4.860442808
0.773938556,10.99191826,7.621129072,3.04E-06,0.00366682,4.426283327
1.39387531,7.57227225,7.524740466,3.50E-06,0.00398711,4.314291118
3.175837178,5.010716217,7.335380185,4.64E-06,0.004998898,4.089995542
2.76391706,7.588525829,6.936933893,8.49E-06,0.008522323,3.599096949
1.608138408,7.17579685,6.900455461,8.98E-06,0.008522323,3.552847436
1.276513433,4.337007214,6.888228172,9.16E-06,0.008522323,3.537295307
0.813703108,5.124777435,6.735265036,1.16E-05,0.010349552,3.340621662
1.537495573,9.213280197,6.595999265,1.45E-05,0.012359863,3.158126745
1.342558728,9.558245719,6.44698316,1.84E-05,0.014871816,2.959199451
1.795407725,8.833104507,6.430437468,1.89E-05,0.014871816,2.936877652
0.635097992,10.94049521,6.320357485,2.26E-05,0.017116444,2.787171602
1.973413343,6.158614218,6.296172952,2.35E-05,0.017168403,2.754001843
2.555545012,6.141368486,6.265589869,2.47E-05,0.017425201,2.711911911
0.763480651,6.657260415,6.215409077,2.68E-05,0.018287809,2.642500957
0.669580938,6.865033419,6.123575004,3.12E-05,0.020071544,2.514347604
1.532740638,9.793438459,6.119805538,3.14E-05,0.020071544,2.509056192
0.935337128,6.296580806,6.084124306,3.33E-05,0.020626183,2.45884663
1.102989169,6.042955994,6.066356827,3.43E-05,0.020626183,2.433762567
-1.451842341,5.057540741,-6.049404561,3.53E-05,0.020626183,2.409778465
0.62427258,5.88734996,5.933969281,4.28E-05,0.024325186,2.245137192
1.077643555,7.945853114,5.884233347,4.65E-05,0.025736047,2.173489427
0.538876126,7.726172202,5.860458156,4.84E-05,0.0260859,2.139088548
0.547263273,7.514629369,5.739304978,5.95E-05,0.030371586,1.962272029
0.701772366,8.255809277,5.722399336,6.12E-05,0.030371586,1.937397784
0.719249452,8.500056995,5.719742593,6.15E-05,0.030371586,1.933484289
0.63609477,8.855268073,5.712244238,6.23E-05,0.030371586,1.922432334
0.871759726,7.949861533,5.54511303,8.31E-05,0.03913622,1.67358836
-0.625337655,7.78738589,-5.53818938,8.41E-05,0.03913622,1.663176493
1.555562402,8.267865076,5.478005726,9.34E-05,0.042491476,1.572327663
0.922811981,8.676133085,5.464433047,9.56E-05,0.04256413,1.551754266
0.854104673,9.868755568,5.426697144,0.000102145,0.044500308,1.494390348
-0.78154997,8.429524452,-5.314954588,0.00012433,0.052566452,1.323117923
1.1346184,7.175921974,5.308332019,0.000125794,0.052566452,1.312901519
0.70964213,9.14679934,5.120370716,0.000175783,0.069651129,1.019912468
1.844405541,3.883864739,5.118558163,0.000176355,0.069651129,1.0170589
0.590348453,10.06610249,5.116890248,0.000176883,0.069651129,1.014432569
0.897517138,9.161890615,5.098798617,0.00018272,0.070591859,0.985916149
1.684205072,4.952091404,5.035476833,0.000204777,0.077265108,0.885691011
0.446187089,6.748880163,5.022194762,0.000209745,0.077265108,0.864586657
0.64123169,5.107357015,5.018070549,0.000211313,0.077265108,0.858027818
0.582992163,7.704061278,4.86175558,0.000280695,0.100833576,0.607459762
1.050111557,7.016334341,4.780781406,0.000325569,0.114937195,0.476175154
1.057791191,5.231817179,4.75566353,0.000340954,0.118328201,0.435249904
-0.86015605,4.19519824,-4.733649897,0.000355056,0.120073839,0.399305108
0.457878057,10.28222036,4.729605613,0.000357712,0.120073839,0.392693613
0.671420181,8.838367484,4.702040728,0.000376371,0.124299398,0.347566959
-0.547080346,6.667228359,-4.674365151,0.00039612,0.128745426,0.302147083
1.026499114,10.24983951,4.660339357,0.000406536,0.130066209,0.279086082
1.134193066,7.103431466,4.643295487,0.000419576,0.132172948,0.251024584
0.540017607,7.582642477,4.628263121,0.000431436,0.133849824,0.226240272
0.690649777,6.952557387,4.594563679,0.000459301,0.140367992,0.170562084
0.482938766,7.881694504,4.577848866,0.000473807,0.142671544,0.142886405
0.824084813,3.863744195,4.495054514,0.000552963,0.161064157,0.00522805
0.639002592,6.07561743,4.489834911,0.00055839,0.161064157,-0.003481701
0.560643007,3.346235233,4.489743253,0.000558486,0.161064157,-0.00363468
-1.084466502,5.92738184,-4.44223231,0.000610492,0.173617185,-0.083082388
-0.364468089,10.6477876,-4.409217579,0.000649553,0.18145811,-0.138464745
0.326213905,5.990889972,4.404137985,0.000655787,0.18145811,-0.146998352
1.204548443,3.264107694,4.382179524,0.000683457,0.186592914,-0.183926227
0.700877577,4.763626217,4.366650385,0.00070375,0.187527129,-0.210078919
0.624843342,7.949745858,4.365561295,0.000705196,0.187527129,-0.211914206
0.630708636,5.584210994,4.350392039,0.000725661,0.190495283,-0.23749228
0.739544218,7.065901634,4.320870178,0.000767261,0.198866371,-0.28735364
0.455500217,9.428197642,4.306856931,0.00078786,0.201652711,-0.311059087
0.60362007,7.118929445,4.297908806,0.00080131,0.20256321,-0.326208659
-0.811745035,5.377084003,-4.28266735,0.000824766,0.205950096,-0.352035401
0.387192073,6.207074077,4.257262943,0.000865444,0.211861467,-0.395145047
1.88674672,5.317536598,4.255020455,0.000869133,0.211861467,-0.398954077
-0.646381702,4.081181671,-4.239438883,0.000895212,0.215651236,-0.425436785
0.340450651,10.57941396,4.210108199,0.000946507,0.225356602,-0.475364077
1.158691908,6.383882863,4.186243965,0.000990464,0.231384105,-0.51605862
0.621069855,7.681047961,4.184148587,0.000994423,0.231384105,-0.519634825
0.872423289,7.463172618,4.17701579,0.00100802,0.231912516,-0.531812118
-0.780293306,5.799699885,-4.140233664,0.001081228,0.245991373,-0.594696411
0.812993252,7.985642947,4.12369005,0.001115913,0.247125274,-0.623027833
0.905082102,4.422184824,4.120977029,0.001121708,0.247125274,-0.627676743
-0.376423481,11.43360664,-4.120645461,0.001122419,0.247125274,-0.628244956
0.501823786,8.992670473,4.102386375,0.001162264,0.253175765,-0.659553717
-1.253536599,4.961743682,-4.092874025,0.001183594,0.254374179,-0.675878282
1.005860927,5.038177219,4.088904952,0.001192612,0.254374179,-0.68269255
1.121069095,4.372282733,4.045888711,0.001294986,0.273362156,-0.756647228
0.412877461,7.676919763,4.037739478,0.001315372,0.274832271,-0.770678403
0.386581065,6.244347355,3.989061883,0.001444179,0.297442977,-0.854623731
-0.4764888,8.498428312,-3.986020796,0.001452642,0.297442977,-0.859875553
0.560842067,8.112565875,3.964247258,0.001514736,0.307086468,-0.897502262
-0.585559702,7.15681136,-3.936735214,0.001597093,0.320608521,-0.945106549
-0.462861981,7.151600894,-3.927586644,0.001625481,0.323139249,-0.960951092
0.681004836,9.442029823,3.901110433,0.001710574,0.336785794,-1.006845878
-0.364927637,7.675672036,-3.890119716,0.001747221,0.340724764,-1.025914776
0.597690289,8.936312429,3.885142369,0.00176408,0.340766968,-1.034553733
0.607541828,9.084903536,3.867052702,0.001826761,0.343677649,-1.065967967
-0.317499998,8.296286435,-3.865287032,0.001832999,0.343677649,-1.069035598
0.390540736,8.413683831,3.865177479,0.001833387,0.343677649,-1.06922594
-0.525009698,6.667459884,-3.861547035,0.001846285,0.343677649,-1.075534186
0.263218233,12.20104042,3.856428406,0.001864628,0.343965131,-1.084430049
-0.439059177,6.840515774,-3.843224577,0.001912807,0.34832013,-1.107386855
1.240685041,4.501482944,3.836275236,0.001938672,0.34832013,-1.119474661
0.340412077,6.593172385,3.836115689,0.00193927,0.34832013,-1.119752222
1.210291925,5.407625277,3.791917509,0.002112378,0.376113527,-1.19671519
0.783998364,9.213792226,3.783915528,0.002145363,0.378693487,-1.21066405
1.049611303,6.801866425,3.742069787,0.002326585,0.404637662,-1.283678709
-0.262360657,6.29925565,-3.740901068,0.002331864,0.404637662,-1.285719588
-0.310859926,9.089180419,-3.713533302,0.002459024,0.421648462,-1.333534812
0.327483377,8.873903945,3.703749094,0.002506175,0.421648462,-1.35064011
-0.612061824,7.054376133,-3.700885527,0.002520148,0.421648462,-1.355647416
0.423975356,6.612899701,3.699614574,0.002526375,0.421648462,-1.357869987
0.454150512,3.778789517,3.698295168,0.002532856,0.421648462,-1.36017739
0.407332939,8.067806917,3.691423757,0.002566882,0.423866736,-1.372195853
-0.485051156,8.058428428,-3.67627603,0.002643539,0.43303277,-1.398699377
0.345462673,7.394106787,3.660651926,0.002725041,0.442584084,-1.42604945
1.356750934,6.535481896,3.655049834,0.002754881,0.442584084,-1.435859065
-0.506604297,5.992827162,-3.652212644,0.00277012,0.442584084,-1.440827781
-0.613859808,5.649078168,-3.648847339,0.002788306,0.442584084,-1.446721902
-0.268537907,7.087810285,-3.643812512,0.00281574,0.443500714,-1.455541152
0.350415401,9.026111396,3.637424394,0.002850943,0.445617557,-1.466732703
0.547524894,6.497613693,3.628075869,0.002903264,0.450357902,-1.483114262
-0.315981184,11.42351481,-3.619478984,0.002952238,0.451471457,-1.49818237
0.362567478,8.152193914,3.613975691,0.002984027,0.451471457,-1.507830008
-0.477805064,6.557588405,-3.60885299,0.003013929,0.451471457,-1.516811678
0.671535094,8.137163807,3.608779944,0.003014358,0.451471457,-1.516939759
0.746049052,7.218582431,3.607702338,0.003020687,0.451471457,-1.518829287
-0.603030314,4.456107248,-3.583307956,0.00316763,0.470002863,-1.561617029
-0.397223498,5.969910702,-3.578978718,0.003194454,0.470572968,-1.569213107
0.793090411,4.992538609,3.570955797,0.003244773,0.474571264,-1.583292092
-0.485177481,6.649545917,-3.564294486,0.003287161,0.47700259,-1.594983564
1.02811081,5.584150075,3.561053249,0.003307988,0.47700259,-1.600672969
-0.43219355,8.484567993,-3.546050476,0.003406143,0.486480429,-1.627012639
0.415852398,4.215251051,3.542458681,0.003430075,0.486480429,-1.633319774
-0.92769578,5.399565183,-3.54023275,0.003444992,0.486480429,-1.637228697
-0.519543825,4.128941712,-3.518860939,0.003591593,0.503708553,-1.67476773
-0.359541898,8.688820788,-3.512631578,0.003635497,0.506397588,-1.685712145
-0.238865758,7.395086803,-3.493212982,0.003775869,0.520111521,-1.719836043
0.385574115,9.095002076,3.485052283,0.003836481,0.520111521,-1.734179723
-0.837108882,5.582403689,-3.483545741,0.003847777,0.520111521,-1.736827886
-0.298476088,5.985116649,-3.478455766,0.003886192,0.520111521,-1.745775341
0.479426433,8.182312092,3.475997824,0.003904881,0.520111521,-1.750096277
0.344087961,8.459866328,3.473851146,0.003921277,0.520111521,-1.753870147
-0.518332235,6.674733037,-3.473603528,0.003923173,0.520111521,-1.754305468
0.889009295,5.910732251,3.471780271,0.00393716,0.520111521,-1.757510856
-1.006879127,4.501986123,-3.467427833,0.003970753,0.521186846,-1.765162992
-0.311183254,6.830635517,-3.459157667,0.004035384,0.526296289,-1.779704139
0.936524887,8.92205334,3.441812402,0.0041744,0.537412177,-1.810206239
-0.57225748,5.482992652,-3.441640107,0.004175804,0.537412177,-1.810509253
-0.338644617,8.731429335,-3.436988921,0.004213909,0.537412177,-1.81868945
0.387783193,6.505405733,3.434033496,0.004238302,0.537412177,-1.82388745
1.309559298,7.709245819,3.431446382,0.004259773,0.537412177,-1.828437783
0.597203059,3.51696237,3.428443839,0.004284828,0.537412177,-1.833718928
-0.907235041,7.295914331,-3.425961752,0.004305652,0.537412177,-1.838084753
-0.909422432,4.639457414,-3.423006114,0.004330583,0.537412177,-1.843283645
0.656966861,5.42707861,3.418177812,0.004371621,0.539236877,-1.85177678
-1.014621746,4.132968316,-3.407469093,0.004464044,0.54733994,-1.870614874
0.49247768,7.35865764,3.401449785,0.004516855,0.550518612,-1.881204273
-0.861653186,3.276031938,-3.391392473,0.0046065,0.551284034,-1.89889835
0.755902436,4.234237984,3.389730007,0.00462149,0.551284034,-1.901823261
0.960295847,6.228588846,3.387854312,0.004638461,0.551284034,-1.905123354
-0.767300047,3.05569553,-3.384969986,0.00466468,0.551284034,-1.910198085
0.48227526,5.89474949,3.382771144,0.004684769,0.551284034,-1.914066809
-0.416964776,5.78480224,-3.381681853,0.004694752,0.551284034,-1.915983362
-0.412091431,6.11371923,-3.379799483,0.004712056,0.551284034,-1.919295319
0.474657326,7.704682715,3.376933575,0.004738523,0.551284034,-1.924337819
-0.500703731,5.586911126,-3.372920981,0.004775831,0.552485391,-1.931397978
-0.366388924,7.548757956,-3.362639703,0.004872777,0.556388699,-1.949488287
0.706418891,3.564650684,3.361298487,0.004885569,0.556388699,-1.951848245
0.797800378,3.123455615,3.358466773,0.004912687,0.556388699,-1.956830851
-0.311587172,4.751631666,-3.352449226,0.004970818,0.556388699,-1.967419245
